"","tmt","trial","temperature_C","relative_humidity_percent","water_vapor_pressure_kPa","vapor_pressure_deficit_kPa"
"1","Cool Humid","Average","23.8 ± 1.6","78 ± 20","2.3 ± 0.6","0.6 ± 0.6"
"2","Hot Humid","Average","34.9 ± 1.1","81 ± 13","4.5 ± 0.7","1.1 ± 0.7"
"3","Cool Dry","Average","24.4 ± 1.3","18 ± 7","0.5 ± 0.2","2.5 ± 0.3"
"4","Hot Dry","Average","35.5 ± 0.9","34 ± 8","2 ± 0.5","3.8 ± 0.5"
