"","effect","group","term","estimate","std.error","statistic","df","p.value"
"1","fixed",NA,"(Intercept)",37.2346090819304,1.41136353843441,26.3820114860228,6.66297966469555,5.43967500793523e-08
"2","fixed",NA,"day_n",-1.30135852303124,0.060064676204711,-21.6659541890475,264.594574984095,1.45489533123234e-60
"3","fixed",NA,"humidity_tmtDry",1.0999783557579,1.0251932769205,1.07294729737405,126.965814292567,0.285329831732107
"4","fixed",NA,"temp_tmtCool",2.81309424553727,1.02216160616046,2.75210321790904,126.469012589985,0.00679242583989279
"5","fixed",NA,"humidity_tmtDry:temp_tmtCool",-1.43736413663325,1.4434378464875,-0.995792191628459,125.929747961072,0.321260703905583
"6","ran_pars","individual_ID:trial_number","sd__(Intercept)",3.50368089899275,NA,NA,NA,NA
"7","ran_pars","trial_number","sd__(Intercept)",2.64459855087687,NA,NA,NA,NA
"8","ran_pars","Residual","sd__Observation",3.9026227199843,NA,NA,NA,NA
