"","effect","group","term","estimate","std.error","statistic","df","p.value"
"1","fixed",NA,"(Intercept)",348.54688231354,3.51129719938611,99.2644206746378,41.3553429268139,7.98601935555657e-51
"2","fixed",NA,"day_n",1.03272091679356,0.508514920695003,2.03085666666794,256.773342357855,0.0432998561508325
"3","fixed",NA,"humidity_tmtDry",3.7368252808727,3.43146216436146,1.08898921272765,120.995112209438,0.278322891471821
"4","fixed",NA,"temp_tmtCool",4.04976110111532,4.44302991347244,0.911486346026026,284.523432105453,0.362810773125379
"5","fixed",NA,"day_n:temp_tmtCool",-1.2980217895545,0.721866890269278,-1.79814562359315,258.310988557591,0.0733214967949673
"6","fixed",NA,"humidity_tmtDry:temp_tmtCool",-5.45928325568232,4.8535587165511,-1.12480008474311,121.190356915396,0.262896582925832
"7","ran_pars","individual_ID:trial_number","sd__(Intercept)",3.62850251423844,NA,NA,NA,NA
"8","ran_pars","trial_number","sd__(Intercept)",3.40357641084446,NA,NA,NA,NA
"9","ran_pars","Residual","sd__Observation",23.1645518872046,NA,NA,NA,NA
