"","term","contrast","null.value","estimate","conf.low","conf.high","adj.p.value"
"1","tmt:trial","cool-humid:3-cool-humid:1",0,-0.00742296918766527,-0.336272875585362,0.321426937210031,1
"2","tmt:trial","cool-dry:4-cool-humid:1",0,0.0162184873954168,-0.31263141900228,0.345068393793113,1
"3","tmt:trial","hot-dry:5-hot-humid:1",0,0.016344950458695,-0.279502789720349,0.312192690637739,1
"4","tmt:trial","cool-dry:3-cool-dry:2",0,-0.00399159663862036,-0.28878396961116,0.28080077633392,1
"5","tmt:trial","cool-humid:5-cool-dry:2",0,-0.0113165266110364,-0.340166433008733,0.31753337978666,1
"6","tmt:trial","cool-humid:5-cool-dry:3",0,-0.00732492997241607,-0.292117302944956,0.277467443000124,1
"7","tmt:trial","cool-dry:4-cool-humid:3",0,0.023641456583082,-0.305208449814615,0.352491362980779,1
"8","tmt:trial","hot-humid:5-hot-humid:3",0,-0.0201120448179068,-0.348961951215603,0.30873786157979,1
"9","tmt:trial","hot-humid:3-hot-humid:2",0,-0.0445378151260769,-0.373387721523774,0.28431209127162,0.999999999949518
"10","tmt:trial","hot-humid:5-hot-humid:2",0,-0.0646498599439838,-0.39349976634168,0.264200046453713,0.999999961123978
"11","tmt:trial","hot-dry:2-hot-humid:1",0,-0.0850556097653907,-0.380903349944435,0.210792130413654,0.999978772897344
"12","tmt:trial","hot-dry:5-hot-dry:2",0,0.101400560224086,-0.227449346173611,0.430250466621782,0.999937686620628
"13","trial","5-4",0,0.0150330505435754,-0.100490384961309,0.130556486048459,0.996604012328018
"14","tmt:trial","hot-humid:4-hot-humid:2",0,0.180672268907529,-0.148177637490168,0.509522175305225,0.922701239235102
"15","tmt:trial","hot-humid:4-hot-dry:1",0,-0.196078431372648,-0.524928337770344,0.132771475025049,0.850201581093586
"16","tmt:trial","cool-humid:5-cool-dry:4",0,0.207394957982764,-0.121454948414933,0.536244864380461,0.778243324173708
"17","tmt:trial","hot-dry:2-hot-dry:1",0,0.211456582633097,-0.117393323764599,0.540306489030794,0.749028187052468
