,day_n,tmt,n_lizards,mean_CEWL,sd_CEWL,mean_osml,sd_osml,mean_hct,sd_hct,mean_SMI,sd_SMI,se_CEWL,se_osml,se_hct,se_SMI
1,8,Hot Humid,33,36.70126263,8.377407987,351.125,21.09566026,25.51612903,5.137255868,9.654402494,1.181729776,1.458319545,3.672283089,0.894281459,0.205712749
2,8,Hot Dry,34,24.5889951,5.200180036,360.0053763,24.4334881,27.96969697,5.514100383,9.37783041,1.057466284,0.891823519,4.190308638,0.945660414,0.181353971
3,8,Cool Humid,34,30.43474747,6.135032697,346.1102151,27.95650878,30.26470588,5.863646727,10.77995131,1.157945257,1.052149427,4.794501701,1.005607117,0.198585973
4,8,Cool Dry,33,23.54383838,5.117954441,347.25,28.71139754,30.15151515,7.241897248,10.58326162,0.988056254,0.890921512,4.998012783,1.260652498,0.171998517
