"","effect","group","term","estimate","std.error","statistic","df","p.value"
"1","fixed",NA,"(Intercept)",282.799670527676,26.7063319902615,10.5892366885426,111.328273375943,1.51355135421335e-18
"2","fixed",NA,"SVL_mm",0.710283546804861,0.37477528114826,1.89522517234501,117.688846517496,0.0605157065002957
"3","fixed",NA,"solar_rad_W_sqm_interpol",0.0256047955040268,0.00838653792658082,3.05308289644447,117.271875564116,0.00280297470889094
"4","ran_pars","capture_date","sd__(Intercept)",16.974402967079,NA,NA,NA,NA
"5","ran_pars","Residual","sd__Observation",13.2271671076212,NA,NA,NA,NA
