"","term","contrast","null.value","estimate","conf.low","conf.high","adj.p.value"
"1","tmt:trial","Hot Humid:5-Hot Humid:4",0,-0.110960572510862,-0.228049490208063,0.00612834518633845,0.0891091192001603
"2","tmt:trial","Hot Humid:5-Hot Humid:3",0,-1.01035192388265,-1.12744084157985,-0.893263006185446,2.40840680731935e-11
"3","tmt:trial","Hot Humid:5-Hot Humid:2",0,-0.101514608701018,-0.218603526398219,0.0155743089961825,0.194117905312692
"4","tmt:trial","Hot Humid:5-Hot Humid:1",0,-0.550527943112106,-0.655866247994681,-0.44518963822953,2.40840680731935e-11
"5","tmt:trial","Hot Humid:5-Hot Dry:4",0,-3.36818690604018,-3.46958888326759,-3.26678492881278,2.40840680731935e-11
"6","tmt:trial","Hot Humid:5-Hot Dry:3",0,-3.16042454654042,-3.27751346423762,-3.04333562884322,2.40840680731935e-11
"7","tmt:trial","Hot Humid:5-Hot Dry:2",0,-3.03395655142867,-3.15104546912587,-2.91686763373147,2.40840680731935e-11
"8","tmt:trial","Hot Humid:5-Hot Dry:1",0,-2.46476901235578,-2.58185793005298,-2.34768009465857,2.40840680731935e-11
"9","tmt:trial","Hot Humid:5-Cool Humid:5",0,0.343390570592786,0.226301652895585,0.460479488289987,2.42762476787561e-11
"10","tmt:trial","Hot Humid:5-Cool Humid:4",0,0.196713607217073,0.095311629989672,0.298115584444474,1.26749355455757e-09
"11","tmt:trial","Hot Humid:5-Cool Humid:3",0,-0.00165502232926207,-0.118743940026463,0.115433895367939,1
"12","tmt:trial","Hot Humid:5-Cool Humid:2",0,0.495015548460398,0.377926630763197,0.612104466157599,2.40840680731935e-11
"13","tmt:trial","Hot Humid:5-Cool Humid:1",0,-0.914366993963813,-1.03145591166101,-0.797278076266613,2.40840680731935e-11
"14","tmt:trial","Hot Humid:5-Cool Dry:4",0,-1.67909008570027,-1.79617900339748,-1.56200116800307,2.40840680731935e-11
"15","tmt:trial","Hot Humid:5-Cool Dry:3",0,-1.80554515988614,-1.90694713711354,-1.70414318265874,2.40840680731935e-11
"16","tmt:trial","Hot Humid:5-Cool Dry:2",0,-1.76294790986708,-1.88003682756428,-1.64585899216988,2.40840680731935e-11
"17","tmt:trial","Hot Humid:5-Cool Dry:1",0,-1.85587699211246,-1.97296590980966,-1.73878807441526,2.40840680731935e-11
"18","tmt:trial","Hot Humid:4-Hot Humid:3",0,-0.899391351371785,-1.01648026906899,-0.782302433674584,2.40840680731935e-11
"19","tmt:trial","Hot Humid:4-Hot Humid:2",0,0.00944596380984408,-0.107642953887357,0.126534881507045,1
"20","tmt:trial","Hot Humid:4-Hot Humid:1",0,-0.439567370601243,-0.544905675483819,-0.334229065718668,2.40840680731935e-11
"21","tmt:trial","Hot Humid:4-Hot Dry:3",0,-3.04946397402956,-3.16655289172676,-2.93237505633235,2.40840680731935e-11
"22","tmt:trial","Hot Humid:4-Hot Dry:2",0,-2.92299597891781,-3.04008489661501,-2.80590706122061,2.40840680731935e-11
"23","tmt:trial","Hot Humid:4-Hot Dry:1",0,-2.35380843984491,-2.47089735754211,-2.23671952214771,2.40840680731935e-11
"24","tmt:trial","Hot Humid:4-Cool Humid:4",0,0.307674179727935,0.206272202500534,0.409076156955336,2.42715847420527e-11
"25","tmt:trial","Hot Humid:4-Cool Humid:3",0,0.1093055501816,-0.00778336751560052,0.226394467878801,0.103170453913833
"26","tmt:trial","Hot Humid:4-Cool Humid:2",0,0.60597612097126,0.48888720327406,0.723065038668461,2.40840680731935e-11
"27","tmt:trial","Hot Humid:4-Cool Humid:1",0,-0.803406421452951,-0.920495339150152,-0.68631750375575,2.40840680731935e-11
"28","tmt:trial","Hot Humid:4-Cool Dry:3",0,-1.69458458737528,-1.79598656460268,-1.59318261014788,2.40840680731935e-11
"29","tmt:trial","Hot Humid:4-Cool Dry:2",0,-1.65198733735622,-1.76907625505342,-1.53489841965902,2.40840680731935e-11
"30","tmt:trial","Hot Humid:4-Cool Dry:1",0,-1.7449164196016,-1.8620053372988,-1.6278275019044,2.40840680731935e-11
"31","tmt:trial","Hot Humid:3-Hot Humid:2",0,0.908837315181629,0.791748397484428,1.02592623287883,2.40840680731935e-11
"32","tmt:trial","Hot Humid:3-Hot Humid:1",0,0.459823980770541,0.354485675887966,0.565162285653117,2.40840680731935e-11
"33","tmt:trial","Hot Humid:3-Hot Dry:2",0,-2.02360462754603,-2.14069354524323,-1.90651570984883,2.40840680731935e-11
"34","tmt:trial","Hot Humid:3-Hot Dry:1",0,-1.45441708847313,-1.57150600617033,-1.33732817077593,2.40840680731935e-11
"35","tmt:trial","Hot Humid:3-Cool Humid:3",0,1.00869690155338,0.891607983856184,1.12578581925059,2.40840680731935e-11
"36","tmt:trial","Hot Humid:3-Cool Humid:2",0,1.50536747234304,1.38827855464584,1.62245639004025,2.40840680731935e-11
"37","tmt:trial","Hot Humid:3-Cool Humid:1",0,0.0959849299188336,-0.0211039877783671,0.213073847616034,0.286062506518849
"38","tmt:trial","Hot Humid:3-Cool Dry:2",0,-0.752595985984435,-0.869684903681636,-0.635507068287235,2.40840680731935e-11
"39","tmt:trial","Hot Humid:3-Cool Dry:1",0,-0.845525068229812,-0.962613985927013,-0.728436150532611,2.40840680731935e-11
"40","tmt:trial","Hot Humid:2-Hot Humid:1",0,-0.449013334411087,-0.554351639293663,-0.343675029528512,2.40840680731935e-11
"41","tmt:trial","Hot Humid:2-Hot Dry:1",0,-2.36325440365476,-2.48034332135196,-2.24616548595756,2.40840680731935e-11
"42","tmt:trial","Hot Humid:2-Cool Humid:2",0,0.596530157161416,0.479441239464215,0.713619074858617,2.40840680731935e-11
"43","tmt:trial","Hot Humid:2-Cool Humid:1",0,-0.812852385262795,-0.929941302959996,-0.695763467565594,2.40840680731935e-11
"44","tmt:trial","Hot Humid:2-Cool Dry:1",0,-1.75436238341144,-1.87145130110864,-1.63727346571424,2.40840680731935e-11
"45","tmt:trial","Hot Humid:1-Cool Humid:1",0,-0.363839050851708,-0.469177355734283,-0.258500745969132,2.40840680731935e-11
"46","tmt","Hot Humid-Cool Humid",0,0.428796765514629,0.393561174602563,0.464032356426694,2.40840680731935e-11
"47","tmt:trial","Hot Dry:5-Hot Humid:5",0,3.3615518865568,3.2444629688596,3.478640804254,2.40840680731935e-11
"48","tmt:trial","Hot Dry:5-Hot Humid:4",0,3.25059131404593,3.13350239634873,3.36768023174313,2.40840680731935e-11
"49","tmt:trial","Hot Dry:5-Hot Humid:3",0,2.35119996267415,2.23411104497695,2.46828888037135,2.40840680731935e-11
"50","tmt:trial","Hot Dry:5-Hot Humid:2",0,3.26003727785578,3.14294836015858,3.37712619555298,2.40840680731935e-11
"51","tmt:trial","Hot Dry:5-Hot Humid:1",0,2.81102394344469,2.70568563856212,2.91636224832727,2.40840680731935e-11
"52","tmt:trial","Hot Dry:5-Hot Dry:4",0,-0.00663501948338752,-0.108036996710789,0.0947669577440136,1
"53","tmt:trial","Hot Dry:5-Hot Dry:3",0,0.201127340016379,0.084038422319178,0.318216257713579,2.23699284984669e-07
"54","tmt:trial","Hot Dry:5-Hot Dry:2",0,0.327595335128122,0.210506417430922,0.444684252825323,2.42650344262074e-11
"55","tmt:trial","Hot Dry:5-Hot Dry:1",0,0.896782874201021,0.779693956503821,1.01387179189822,2.40840680731935e-11
"56","tmt:trial","Hot Dry:5-Cool Humid:5",0,3.70494245714958,3.58785353945238,3.82203137484678,2.40840680731935e-11
"57","tmt:trial","Hot Dry:5-Cool Humid:4",0,3.55826549377387,3.45686351654647,3.65966747100127,2.40840680731935e-11
"58","tmt:trial","Hot Dry:5-Cool Humid:3",0,3.35989686422753,3.24280794653033,3.47698578192474,2.40840680731935e-11
"59","tmt:trial","Hot Dry:5-Cool Humid:2",0,3.85656743501719,3.73947851731999,3.9736563527144,2.40840680731935e-11
"60","tmt:trial","Hot Dry:5-Cool Humid:1",0,2.44718489259298,2.33009597489578,2.56427381029018,2.40840680731935e-11
"61","tmt:trial","Hot Dry:5-Cool Dry:5",0,1.40578340037416,1.28869448267696,1.52287231807136,2.40840680731935e-11
"62","tmt:trial","Hot Dry:5-Cool Dry:4",0,1.68246180085652,1.56537288315932,1.79955071855372,2.40840680731935e-11
"63","tmt:trial","Hot Dry:5-Cool Dry:3",0,1.55600672667065,1.45460474944325,1.65740870389806,2.40840680731935e-11
"64","tmt:trial","Hot Dry:5-Cool Dry:2",0,1.59860397668971,1.48151505899251,1.71569289438691,2.40840680731935e-11
