date;time;temperature_F;wind_speed_mph;relative_humidity_percent;solar_radiation_W_sqm;precipitation_inches
6/16/21;1:15 AM;80.3;14.5;21.0;0.0;*
6/16/21;1:30 AM;79.9;14.2;21.5;0.0;*
6/16/21;1:45 AM;79.8;13.9;21.5;0.0;*
6/16/21;2:00 AM;79.7;14.1;21.8;0.0;*
6/16/21;2:15 AM;79.5;12.8;22.0;0.0;*
6/16/21;2:30 AM;79.2;12.3;21.9;0.0;*
6/16/21;2:45 AM;79.6;13.6;20.8;0.0;*
6/16/21;3:00 AM;80.0;14.6;20.2;0.0;*
6/16/21;3:15 AM;79.5;12.3;20.5;0.0;*
6/16/21;3:30 AM;79.1;13.1;20.7;0.0;*
6/16/21;3:45 AM;79.2;14.0;20.6;0.0;*
6/16/21;4:00 AM;78.8;15.0;20.9;0.0;*
6/16/21;4:15 AM;78.8;14.6;21.1;0.0;*
6/16/21;4:30 AM;78.7;12.4;21.1;0.0;*
6/16/21;4:45 AM;78.7;15.3;21.2;0.0;*
6/16/21;5:00 AM;77.8;15.0;23.2;0.0;*
6/16/21;5:15 AM;77.7;15.0;22.9;0.0;*
6/16/21;5:30 AM;78.2;15.8;22.2;0.0;*
6/16/21;5:45 AM;78.5;16.1;21.9;0.0;*
6/16/21;6:00 AM;78.3;13.8;22.0;4.0;*
6/16/21;6:15 AM;78.3;14.3;22.1;21.1;*
6/16/21;6:30 AM;78.3;12.6;22.3;42.4;*
6/16/21;6:45 AM;78.3;11.3;23.1;62.8;*
6/16/21;7:00 AM;78.6;11.4;23.3;105.2;*
6/16/21;7:15 AM;79.4;13.6;22.9;155.9;*
6/16/21;7:30 AM;79.8;11.9;22.9;159.8;*
6/16/21;7:45 AM;79.9;12.6;22.9;144.6;*
6/16/21;8:00 AM;80.5;13.5;22.9;260.7;*
6/16/21;8:15 AM;81.4;13.5;22.8;305.8;*
6/16/21;8:30 AM;81.7;12.6;23.0;293.0;*
6/16/21;8:45 AM;82.6;11.2;23.1;433.1;*
6/16/21;9:00 AM;83.7;10.9;23.2;499.4;*
6/16/21;9:15 AM;84.3;13.1;23.4;559.2;*
6/16/21;9:30 AM;85.7;11.2;22.4;608.2;*
6/16/21;9:45 AM;87.1;10.3;21.6;647.0;*
6/16/21;10:00 AM;87.7;9.2;22.1;696.2;*
6/16/21;10:15 AM;88.2;11.5;21.8;744.1;*
6/16/21;10:30 AM;88.5;11.1;21.2;692.8;*
6/16/21;10:45 AM;90.1;9.1;20.7;745.5;*
6/16/21;11:00 AM;91.0;9.1;20.4;759.5;*
6/16/21;11:15 AM;91.5;10.2;20.3;836.0;*
6/16/21;11:30 AM;92.2;10.4;20.3;914.8;*
6/16/21;11:45 AM;92.5;10.8;19.9;831.2;*
6/16/21;12:00 PM;92.8;10.0;20.7;806.3;*
6/16/21;12:15 PM;93.5;10.3;20.8;944.4;*
6/16/21;12:30 PM;94.1;10.4;19.9;1011.7;*
6/16/21;12:45 PM;94.4;13.1;19.5;975.9;*
6/16/21;1:00 PM;94.5;11.7;20.0;904.8;*
6/16/21;1:15 PM;95.9;8.7;19.9;1005.9;*
6/16/21;1:30 PM;96.5;11.2;19.8;938.9;*
6/16/21;1:45 PM;95.7;11.1;19.7;614.8;*
6/16/21;2:00 PM;96.5;10.3;20.0;959.0;*
6/16/21;2:15 PM;97.8;8.5;19.8;952.0;*
6/16/21;2:30 PM;98.2;11.0;18.8;920.8;*
6/16/21;2:45 PM;98.4;10.4;18.8;901.3;*
6/16/21;3:00 PM;98.6;10.5;18.6;878.6;*
6/16/21;3:15 PM;98.9;11.5;18.1;846.4;*
6/16/21;3:30 PM;99.3;11.1;18.1;807.7;*
6/16/21;3:45 PM;99.6;9.2;18.4;769.7;*
6/16/21;4:00 PM;99.7;11.7;18.0;731.9;*
6/16/21;4:15 PM;100.7;8.7;17.7;686.7;*
6/16/21;4:30 PM;100.7;10.7;17.3;641.5;*
6/16/21;4:45 PM;100.9;8.7;17.4;590.1;*
6/16/21;5:00 PM;101.0;8.3;17.5;540.7;*
6/16/21;5:15 PM;100.9;8.0;17.1;490.9;*
6/16/21;5:30 PM;100.8;8.6;16.5;443.3;*
6/16/21;5:45 PM;100.7;8.4;17.2;393.3;*
6/16/21;6:00 PM;99.7;5.7;19.0;339.4;*
6/16/21;6:15 PM;86.6;7.7;31.8;288.9;*
6/16/21;6:30 PM;80.5;7.1;39.0;245.3;*
6/16/21;6:45 PM;78.2;6.0;42.2;124.5;*
6/16/21;7:00 PM;75.9;5.3;45.6;74.0;*
6/16/21;7:15 PM;74.3;4.6;47.8;66.3;*
6/16/21;7:30 PM;73.1;5.0;49.5;41.1;*
6/16/21;7:45 PM;72.0;4.5;51.2;28.7;*
6/16/21;8:00 PM;70.5;4.2;53.5;16.8;*
6/16/21;8:15 PM;69.5;3.2;55.5;5.8;*
6/16/21;8:30 PM;69.3;2.9;55.4;0.2;*
6/16/21;8:45 PM;70.1;3.8;53.9;0.0;*
6/16/21;9:00 PM;70.5;4.1;53.2;0.0;*
6/16/21;9:15 PM;70.9;3.4;52.9;0.0;*
6/16/21;9:30 PM;70.2;3.2;54.5;0.0;*
6/16/21;9:45 PM;70.0;3.2;54.9;0.0;*
6/16/21;10:00 PM;70.0;3.3;55.2;0.0;*
6/16/21;10:15 PM;70.3;4.9;54.4;0.2;*
6/16/21;10:30 PM;73.8;5.8;47.4;1.1;*
6/16/21;10:45 PM;72.9;5.6;49.5;0.1;*
6/16/21;11:00 PM;70.0;4.7;54.6;0.0;*
6/16/21;11:15 PM;68.5;3.7;56.9;0.0;*
6/16/21;11:30 PM;67.5;2.9;58.5;0.0;*
6/16/21;11:45 PM;67.4;3.1;59.5;0.0;*
6/17/21;12:00 AM;67.0;3.3;60.7;0.0;*
6/17/21;12:15 AM;66.3;2.9;62.2;0.0;*
6/17/21;12:30 AM;65.8;3.3;63.5;0.0;*
6/17/21;12:45 AM;65.3;1.4;64.8;0.0;*
6/17/21;1:00 AM;64.6;0.1;66.6;0.0;*
6/17/21;1:15 AM;64.0;0.1;68.0;0.0;*
6/17/21;1:30 AM;63.3;1.0;69.2;0.0;*
6/17/21;1:45 AM;62.4;1.5;71.0;0.0;*
6/17/21;2:00 AM;62.0;1.7;71.8;0.0;*
6/17/21;2:15 AM;61.6;2.4;73.1;0.0;*
6/17/21;2:30 AM;60.7;0.9;75.1;0.0;*
6/17/21;2:45 AM;60.4;0.1;76.8;0.0;*
6/17/21;3:00 AM;60.1;0.1;77.7;0.0;*
6/17/21;3:15 AM;59.5;0.1;79.2;0.0;*
6/17/21;3:30 AM;60.2;0.1;77.7;0.0;*
6/17/21;3:45 AM;59.9;0.1;77.7;0.0;*
6/17/21;4:00 AM;59.5;0.1;78.1;0.0;*
6/17/21;4:15 AM;59.8;0.1;78.5;0.0;*
6/17/21;4:30 AM;60.1;0.1;78.3;0.0;*
6/17/21;4:45 AM;60.2;0.1;78.6;0.0;*
6/17/21;5:00 AM;61.2;0.1;77.4;0.0;*
6/17/21;5:15 AM;61.0;0.3;76.8;0.0;*
6/17/21;5:30 AM;61.6;0.2;75.9;0.0;*
6/17/21;5:45 AM;61.6;0.1;76.2;0.0;*
6/17/21;6:00 AM;61.6;0.1;77.8;5.1;*
6/17/21;6:15 AM;61.9;0.1;78.6;17.5;*
6/17/21;6:30 AM;61.9;0.1;79.4;27.4;*
6/17/21;6:45 AM;62.1;0.1;79.9;35.6;*
6/17/21;7:00 AM;62.6;0.1;79.8;78.6;*
6/17/21;7:15 AM;63.8;0.1;78.0;74.3;*
6/17/21;7:30 AM;64.4;0.1;78.0;142.3;*
6/17/21;7:45 AM;65.9;0.1;75.6;296.7;*
6/17/21;8:00 AM;68.5;0.1;70.2;355.5;*
6/17/21;8:15 AM;70.5;0.1;66.4;391.5;*
6/17/21;8:30 AM;71.8;0.1;64.2;404.0;*
6/17/21;8:45 AM;72.7;0.1;63.2;437.9;*
6/17/21;9:00 AM;73.7;0.1;61.9;502.5;*
6/17/21;9:15 AM;74.6;1.0;59.5;552.3;*
6/17/21;9:30 AM;75.3;3.6;57.5;607.0;*
6/17/21;9:45 AM;77.3;2.9;55.1;653.8;*
6/17/21;10:00 AM;78.6;3.5;54.2;695.1;*
6/17/21;10:15 AM;79.6;3.3;54.3;738.3;*
6/17/21;10:30 AM;80.3;3.3;53.6;780.2;*
6/17/21;10:45 AM;81.0;3.4;52.0;816.8;*
6/17/21;11:00 AM;82.5;2.7;49.0;850.5;*
6/17/21;11:15 AM;83.8;2.9;46.5;881.1;*
6/17/21;11:30 AM;84.5;2.9;45.6;906.4;*
6/17/21;11:45 AM;85.3;2.8;44.1;948.1;*
6/17/21;12:00 PM;86.7;3.0;43.5;862.9;*
6/17/21;12:15 PM;87.1;3.2;43.5;942.2;*
6/17/21;12:30 PM;88.0;4.4;42.0;984.9;*
6/17/21;12:45 PM;87.9;4.1;41.8;1013.4;*
6/17/21;1:00 PM;88.5;4.3;41.6;992.7;*
6/17/21;1:15 PM;88.2;5.4;40.9;974.5;*
6/17/21;1:30 PM;87.9;5.5;40.5;972.2;*
6/17/21;1:45 PM;88.2;5.1;39.8;969.8;*
6/17/21;2:00 PM;88.3;5.1;39.0;974.4;*
6/17/21;2:15 PM;88.8;4.5;38.4;954.8;*
6/17/21;2:30 PM;90.1;3.8;37.8;917.8;*
6/17/21;2:45 PM;90.2;5.2;36.8;904.8;*
6/17/21;3:00 PM;89.8;5.7;37.1;875.1;*
6/17/21;3:15 PM;90.3;5.8;36.9;843.6;*
6/17/21;3:30 PM;90.6;5.3;35.9;810.3;*
6/17/21;3:45 PM;89.8;4.6;35.5;778.1;*
6/17/21;4:00 PM;88.5;5.2;37.5;757.5;*
6/17/21;4:15 PM;87.5;5.5;37.0;665.6;*
6/17/21;4:30 PM;87.3;3.8;37.8;632.7;*
6/17/21;4:45 PM;86.3;4.0;38.8;608.4;*
6/17/21;5:00 PM;85.8;3.9;39.6;539.1;*
6/17/21;5:15 PM;85.2;3.4;40.0;494.4;*
6/17/21;5:30 PM;84.9;3.4;40.4;445.8;*
6/17/21;5:45 PM;84.4;3.8;40.0;396.1;*
6/17/21;6:00 PM;83.9;3.8;40.5;350.1;*
6/17/21;6:15 PM;83.0;3.7;41.4;300.5;*
6/17/21;6:30 PM;82.0;3.2;44.1;253.2;*
6/17/21;6:45 PM;80.7;2.0;45.4;108.4;*
6/17/21;7:00 PM;79.6;3.0;46.8;69.6;*
6/17/21;7:15 PM;78.9;2.9;48.3;65.0;*
6/17/21;7:30 PM;76.9;2.9;52.0;37.4;*
6/17/21;7:45 PM;74.9;3.0;55.4;25.3;*
6/17/21;8:00 PM;73.0;2.2;58.9;15.0;*
6/17/21;8:15 PM;71.8;1.4;61.3;5.2;*
6/17/21;8:30 PM;70.4;0.1;63.8;0.0;*
6/17/21;8:45 PM;69.6;0.1;65.3;0.0;*
6/17/21;9:00 PM;68.5;0.1;67.1;0.0;*
6/17/21;9:15 PM;68.1;0.7;68.5;0.0;*
6/17/21;9:30 PM;67.6;0.5;69.3;0.0;*
6/17/21;9:45 PM;67.5;0.5;69.8;0.0;*
6/17/21;10:00 PM;66.9;0.4;70.4;0.0;*
6/17/21;10:15 PM;66.3;0.1;71.6;0.0;*
6/17/21;10:30 PM;65.6;0.1;72.6;0.0;*
6/17/21;10:45 PM;65.0;0.1;73.1;0.0;*
6/17/21;11:00 PM;64.6;0.1;73.7;0.0;*
6/17/21;11:15 PM;64.5;0.1;75.2;0.0;*
6/17/21;11:30 PM;64.8;1.3;76.1;0.0;*
6/17/21;11:45 PM;64.2;0.1;76.0;0.0;*
6/18/21;12:00 AM;63.2;0.1;77.7;0.0;*
6/18/21;12:15 AM;62.5;0.1;79.1;0.0;*
6/18/21;12:30 AM;61.9;0.1;80.4;0.0;*
6/18/21;12:45 AM;61.6;0.1;81.6;0.0;*
6/18/21;1:00 AM;61.2;0.1;82.6;0.0;*
6/18/21;1:15 AM;61.0;0.1;83.3;0.0;*
6/18/21;1:30 AM;60.7;0.1;83.8;0.0;*
6/18/21;1:45 AM;60.3;0.1;84.2;0.0;*
6/18/21;2:00 AM;59.9;0.1;85.6;0.0;*
6/18/21;2:15 AM;59.5;0.1;86.6;0.0;*
6/18/21;2:30 AM;59.1;0.1;86.7;0.0;*
6/18/21;2:45 AM;59.0;0.1;88.5;0.0;*
6/18/21;3:00 AM;59.0;0.1;88.3;0.0;*
6/18/21;3:15 AM;58.5;0.1;88.5;0.0;*
6/18/21;3:30 AM;58.3;0.1;89.7;0.0;*
6/18/21;3:45 AM;58.0;0.1;90.0;0.0;*
6/18/21;4:00 AM;58.1;0.1;91.2;0.0;*
6/18/21;4:15 AM;57.7;0.1;91.3;0.0;*
6/18/21;4:30 AM;57.8;0.1;91.9;0.0;*
6/18/21;4:45 AM;57.9;0.1;91.9;0.0;*
6/18/21;5:00 AM;57.4;0.1;91.7;0.0;*
6/18/21;5:15 AM;57.5;0.1;92.3;0.0;*
6/18/21;5:30 AM;57.2;0.1;93.2;0.0;*
6/18/21;5:45 AM;56.9;0.1;94.0;0.0;*
6/18/21;6:00 AM;56.6;0.1;95.0;1.7;*
6/18/21;6:15 AM;56.7;0.1;95.6;7.8;*
6/18/21;6:30 AM;57.2;0.1;96.2;16.4;*
6/18/21;6:45 AM;57.5;0.1;96.0;24.8;*
6/18/21;7:00 AM;57.7;0.1;95.5;49.8;*
6/18/21;7:15 AM;59.0;0.1;94.5;91.0;*
6/18/21;7:30 AM;60.4;0.2;91.4;101.4;*
6/18/21;7:45 AM;62.8;0.6;87.8;235.7;*
6/18/21;8:00 AM;62.8;2.9;87.2;287.2;*
6/18/21;8:15 AM;63.5;2.4;87.8;340.3;*
6/18/21;8:30 AM;64.1;3.4;85.0;396.9;*
6/18/21;8:45 AM;64.9;3.1;83.6;451.4;*
6/18/21;9:00 AM;66.1;3.3;80.4;502.5;*
6/18/21;9:15 AM;66.9;3.3;78.5;556.9;*
6/18/21;9:30 AM;68.0;3.6;76.4;608.8;*
6/18/21;9:45 AM;70.0;2.6;72.1;659.7;*
6/18/21;10:00 AM;71.2;3.7;69.1;707.6;*
6/18/21;10:15 AM;71.8;3.4;68.8;749.5;*
6/18/21;10:30 AM;73.3;3.8;66.3;793.0;*
6/18/21;10:45 AM;75.1;2.6;63.5;832.7;*
6/18/21;11:00 AM;76.4;3.5;60.4;866.9;*
6/18/21;11:15 AM;77.5;3.8;58.7;898.0;*
6/18/21;11:30 AM;78.2;4.1;57.9;922.4;*
6/18/21;11:45 AM;78.1;4.4;58.1;943.8;*
6/18/21;12:00 PM;78.5;4.3;57.3;962.1;*
6/18/21;12:15 PM;79.0;4.1;56.2;975.0;*
6/18/21;12:30 PM;79.9;4.4;54.3;984.7;*
6/18/21;12:45 PM;81.3;4.4;52.7;991.4;*
6/18/21;1:00 PM;81.8;4.7;51.5;993.1;*
6/18/21;1:15 PM;81.7;5.0;50.8;992.1;*
6/18/21;1:30 PM;82.1;4.2;50.0;987.2;*
6/18/21;1:45 PM;83.1;4.6;50.0;975.9;*
6/18/21;2:00 PM;83.3;4.2;50.8;963.6;*
6/18/21;2:15 PM;81.9;4.9;51.7;950.7;*
6/18/21;2:30 PM;81.0;5.4;53.4;934.5;*
6/18/21;2:45 PM;80.2;4.5;54.4;912.0;*
6/18/21;3:00 PM;80.4;4.4;53.8;883.6;*
6/18/21;3:15 PM;80.5;4.0;54.2;851.8;*
6/18/21;3:30 PM;81.1;3.3;53.7;815.7;*
6/18/21;3:45 PM;81.8;4.1;52.2;776.1;*
6/18/21;4:00 PM;81.9;3.8;51.9;736.4;*
6/18/21;4:15 PM;81.3;5.2;52.3;695.6;*
6/18/21;4:30 PM;80.5;5.6;52.8;649.0;*
6/18/21;4:45 PM;80.6;4.4;52.6;600.7;*
6/18/21;5:00 PM;80.2;4.6;53.8;551.7;*
6/18/21;5:15 PM;78.6;4.4;55.5;502.8;*
6/18/21;5:30 PM;76.3;5.0;58.7;456.9;*
6/18/21;5:45 PM;75.4;4.7;59.7;408.9;*
6/18/21;6:00 PM;75.1;3.7;59.8;359.7;*
6/18/21;6:15 PM;74.3;3.4;60.9;310.1;*
6/18/21;6:30 PM;73.0;3.9;62.7;260.9;*
6/18/21;6:45 PM;71.2;3.8;65.4;112.5;*
6/18/21;7:00 PM;69.9;2.8;67.7;67.4;*
6/18/21;7:15 PM;69.0;3.2;69.5;66.3;*
6/18/21;7:30 PM;67.8;2.7;71.3;36.8;*
6/18/21;7:45 PM;66.5;1.8;73.0;25.1;*
6/18/21;8:00 PM;65.4;0.1;74.5;15.4;*
6/18/21;8:15 PM;64.3;0.1;77.1;5.2;*
6/18/21;8:30 PM;63.4;0.1;79.5;0.1;*
6/18/21;8:45 PM;62.8;0.1;81.2;0.0;*
6/18/21;9:00 PM;62.1;0.1;83.1;0.0;*
6/18/21;9:15 PM;61.3;0.1;84.8;0.0;*
6/18/21;9:30 PM;60.9;0.1;86.5;0.0;*
6/18/21;9:45 PM;60.6;0.1;87.7;0.0;*
6/18/21;10:00 PM;60.3;0.1;88.6;0.0;*
6/18/21;10:15 PM;60.0;0.1;89.5;0.0;*
6/18/21;10:30 PM;59.5;0.1;90.7;0.0;*
6/18/21;10:45 PM;59.2;0.1;91.7;0.0;*
6/18/21;11:00 PM;59.4;0.1;92.1;0.0;*
6/18/21;11:15 PM;59.1;0.1;92.2;0.0;*
6/18/21;11:30 PM;59.2;0.1;91.3;0.0;*
6/18/21;11:45 PM;58.8;0.1;92.4;0.0;*
