date,CEWL_time,day,individual_ID,cloacal_temp_C,notes
7/28/21,9:59,post-exp,271,27,
7/28/21,10:49,post-exp,272,27,
7/28/21,13:01,post-exp,273,26,
7/28/21,10:21,post-exp,274,26,
7/28/21,12:40,post-exp,275,26,
7/28/21,10:07,post-exp,276,27,
7/28/21,12:44,post-exp,277,26,
7/28/21,10:25,post-exp,278,26,
7/28/21,13:36,post-exp,279,24,
7/28/21,12:27,post-exp,280,27,
7/28/21,12:51,post-exp,281,27,
7/28/21,13:31,post-exp,282,24,
7/28/21,11:32,post-exp,285,26,
7/28/21,11:08,post-exp,286,27,
7/28/21,9:51,post-exp,287,27,
7/28/21,10:14,post-exp,288,27,
7/28/21,13:14,post-exp,289,26,
7/28/21,10:55,post-exp,290,26,
7/28/21,9:36,post-exp,291,27,
7/28/21,10:31,post-exp,292,27,
7/28/21,11:26,post-exp,293,26,
